Fecha,Equipo1,Score,Equipo2,Resultado,Goles_equipo1,Goles_equipo2,Diferencia_goles
2022-05-22,Sevilla,1 - 0,Athletic,Ganó,1,0,1
2022-05-15,Atlético,1 - 1,Sevilla,Empató,1,1,0
2022-05-11,Sevilla,0 - 0,Mallorca,Empató,0,0,0
2022-05-08,Villarreal,1 - 1,Sevilla,Empató,1,1,0
2022-04-29,Sevilla,1 - 1,Cádiz,Empató,1,1,0
2022-04-21,Levante,2 - 3,Sevilla,Ganó,2,3,1
2022-04-17,Sevilla,2 - 3,Real Madrid,Perdió,2,3,1
2022-04-08,Sevilla,4 - 2,Granada,Ganó,4,2,2
2022-04-03,Barcelona,1 - 0,Sevilla,Perdió,1,0,1
2022-03-20,Sevilla,0 - 0,R. Sociedad,Empató,0,0,0
2022-03-13,Rayo Vallecano,1 - 1,Sevilla,Empató,1,1,0
2022-03-04,Deportivo Alavés,0 - 0,Sevilla,Empató,0,0,0
2022-02-27,Sevilla,2 - 1,Real Betis,Ganó,2,1,1
2022-02-20,Espanyol,1 - 1,Sevilla,Empató,1,1,0
2022-02-11,Sevilla,2 - 0,Elche,Ganó,2,0,2
2022-02-05,Osasuna,0 - 0,Sevilla,Empató,0,0,0
2022-01-22,Sevilla,2 - 2,Celta,Empató,2,2,0
2022-01-19,Valencia,1 - 1,Sevilla,Empató,1,1,0
2022-01-09,Sevilla,1 - 0,Getafe,Ganó,1,0,1
2022-01-03,Cádiz,0 - 1,Sevilla,Ganó,0,1,1
2021-12-21,Sevilla,1 - 1,Barcelona,Empató,1,1,0
2021-12-18,Sevilla,2 - 1,Atlético,Ganó,2,1,1
2021-12-11,Athletic,0 - 1,Sevilla,Ganó,0,1,1
2021-12-04,Sevilla,1 - 0,Villarreal,Ganó,1,0,1
2021-11-28,Real Madrid,2 - 1,Sevilla,Perdió,2,1,1
2021-11-20,Sevilla,2 - 2,Deportivo Alavés,Empató,2,2,0
2021-11-07,Real Betis,0 - 2,Sevilla,Ganó,0,2,2
2021-10-30,Sevilla,2 - 0,Osasuna,Ganó,2,0,2
2021-10-27,Mallorca,1 - 1,Sevilla,Empató,1,1,0
2021-10-24,Sevilla,5 - 3,Levante,Ganó,5,3,2
2021-10-17,Celta,0 - 1,Sevilla,Ganó,0,1,1
2021-10-03,Granada,1 - 0,Sevilla,Perdió,1,0,1
2021-09-25,Sevilla,2 - 0,Espanyol,Ganó,2,0,2
2021-09-22,Sevilla,3 - 1,Valencia,Ganó,3,1,2
2021-09-19,R. Sociedad,0 - 0,Sevilla,Empató,0,0,0
2021-08-28,Elche,1 - 1,Sevilla,Empató,1,1,0
2021-08-23,Getafe,0 - 1,Sevilla,Ganó,0,1,1
2021-08-15,Sevilla,3 - 0,Rayo Vallecano,Ganó,3,0,3
2021-05-23,Sevilla,1 - 0,Deportivo Alavés,Ganó,1,0,1
2021-05-16,Villarreal,4 - 0,Sevilla,Perdió,4,0,4
2021-05-12,Sevilla,1 - 0,Valencia,Ganó,1,0,1
2021-05-09,Real Madrid,2 - 2,Sevilla,Empató,2,2,0
2021-05-03,Sevilla,0 - 1,Athletic,Perdió,0,1,1
2021-04-25,Sevilla,2 - 1,Granada,Ganó,2,1,1
2021-04-21,Levante,0 - 1,Sevilla,Ganó,0,1,1
2021-04-18,R. Sociedad,1 - 2,Sevilla,Ganó,1,2,1
2021-04-12,Celta,3 - 4,Sevilla,Ganó,3,4,1
2021-04-04,Sevilla,1 - 0,Atlético,Ganó,1,0,1
2021-03-20,Real Valladolid,1 - 1,Sevilla,Empató,1,1,0
2021-03-17,Sevilla,2 - 0,Elche,Ganó,2,0,2
2021-03-14,Sevilla,1 - 0,Real Betis,Ganó,1,0,1
2021-03-06,Elche,2 - 1,Sevilla,Perdió,2,1,1
2021-02-27,Sevilla,0 - 2,Barcelona,Perdió,0,2,2
2021-02-22,Osasuna,0 - 2,Sevilla,Ganó,0,2,2
2021-02-13,Sevilla,1 - 0,Huesca,Ganó,1,0,1
2021-02-06,Sevilla,3 - 0,Getafe,Ganó,3,0,3
2021-01-30,Eibar,0 - 2,Sevilla,Ganó,0,2,2
2021-01-23,Sevilla,3 - 0,Cádiz,Ganó,3,0,3
2021-01-19,Deportivo Alavés,1 - 2,Sevilla,Ganó,1,2,1
2021-01-12,Atlético,2 - 0,Sevilla,Perdió,2,0,2
